Unnamed: 0,tarih,ürün_kodu,ürün_adi,kategori,fiyat,adet,toplam_satis,musteri_id,isim,cinsiyet,yas,sehir,harcama_miktari
22,2023-11-03,P097,Su Şişesi,Mutfak Ürünleri,324.84,2,649.68,9754,Sevcan,Kadın,20,Bursa,4006.39
23,2024-09-16,P032,Mouse,Elektronik,926.76,3,2780.2799999999997,4046,Okbay,Kadın,35,İzmir,4979.71
24,2024-10-14,P097,Su Şişesi,Mutfak Ürünleri,921.73,12,11060.76,3883,Macide,Erkek,18,Konya,4839.13
25,2023-12-25,P087,Kulaklık,Elektronik,1074.51,3,3223.5299999999997,2144,Dorukhan,Erkek,59,Konya,3982.77
26,2023-05-30,P024,Bilgisayar,Elektronik,78.34,7,548.38,3393,Özgün,Erkek,36,Konya,4060.86
27,2024-03-31,P082,Defter,Kırtasiye,420.9,3,1262.6999999999998,7110,Feza,Kadın,32,Ankara,3817.64
28,2023-02-01,P011,Kalem,Kırtasiye,740.2,8,5921.6,9977,Işın,Kadın,30,Antalya,2255.52
29,2023-11-21,P087,Kulaklık,Elektronik,1265.21,18,22773.78,2161,Canseven,Erkek,61,Gaziantep,3711.58
30,2023-05-20,P087,Kulaklık,Elektronik,1487.71,14,20827.94,5038,Şahnuray,Kadın,40,İstanbul,897.19
31,2023-11-08,P063,Klima,Elektronik,1142.15,3,3426.4500000000003,9142,Yetişal,Kadın,18,Antalya,3823.04
32,2024-05-08,P024,Bilgisayar,Elektronik,839.93,10,8399.3,8147,Yahşi,Kadın,34,Konya,2472.0
33,2024-10-03,P082,Defter,Kırtasiye,805.94,5,4029.7,8258,Arıkol,Erkek,56,İzmir,1403.54
34,2023-08-21,P018,Telefon,Elektronik,682.65,14,9557.1,9548,Güngördü,Erkek,19,Bursa,1384.06
35,2024-02-18,P097,Su Şişesi,Mutfak Ürünleri,489.8,7,3428.6,2822,Hıfzullah,Kadın,32,Bursa,3791.99
36,2024-03-03,P037,Fırın,Ev Aletleri,751.52,18,13527.36,9665,Ayaydın,Kadın,30,İzmir,3869.36
37,2022-11-28,P018,Telefon,Elektronik,1272.82,15,19092.3,5689,Arısoy,Erkek,32,Ankara,4367.52
38,2023-09-28,P011,Kalem,Kırtasiye,916.33,13,11912.29,1592,Şirivan,Erkek,50,Bursa,3489.29
39,2023-05-15,P010,Çanta,Giyim,1145.39,4,4581.56,7751,Tandoğdu,Kadın,56,Bursa,4868.87
40,2024-05-24,P010,Çanta,Giyim,352.22,18,6339.960000000001,7099,Mihriye,Erkek,20,Konya,2188.39
41,2023-06-18,P097,Su Şişesi,Mutfak Ürünleri,444.14,6,2664.84,1496,Durgadin,Erkek,37,Antalya,3392.56
42,2024-03-22,P024,Bilgisayar,Elektronik,1081.54,1,1081.54,2618,Nurveren,Kadın,22,Gaziantep,2026.98
43,2024-04-18,P063,Klima,Elektronik,527.11,16,8433.76,7734,Özbay,Kadın,29,Gaziantep,3803.52
44,2023-01-20,P024,Bilgisayar,Elektronik,1187.65,5,5938.25,9363,Şahat,Kadın,29,Adana,3402.42
45,2024-09-08,P082,Defter,Kırtasiye,703.97,3,2111.91,3933,Karakucak,Kadın,20,Konya,361.41
46,2023-05-08,P037,Fırın,Ev Aletleri,976.12,5,4880.6,7704,Atalay,Kadın,64,Bursa,2432.26
47,2024-02-18,P032,Mouse,Elektronik,1234.59,13,16049.669999999998,4787,Canur,Kadın,22,İstanbul,2993.8
48,2022-11-21,P032,Mouse,Elektronik,946.98,5,4734.9,1752,Çelikkan,Erkek,64,Adana,997.89
49,2023-08-08,P037,Fırın,Ev Aletleri,1111.47,10,11114.7,9608,Erseç,Kadın,45,İstanbul,3815.92
50,2023-03-27,P018,Telefon,Elektronik,1215.91,7,8511.37,5355,Ecemiş,Kadın,46,Gaziantep,3854.7
51,2024-04-22,P082,Defter,Kırtasiye,703.04,9,6327.36,9023,Menişan,Kadın,62,Bursa,3631.84
52,2023-08-01,P032,Mouse,Elektronik,244.96,9,2204.64,5903,Hüryaşar,Kadın,68,Gaziantep,4761.83
53,2023-09-12,P082,Defter,Kırtasiye,239.63,1,239.63,2829,Nurşan,Erkek,55,İzmir,3198.23
54,2023-04-19,P011,Kalem,Kırtasiye,317.39,1,317.39,2585,Taşkan,Kadın,29,Konya,4139.82
55,2024-07-09,P082,Defter,Kırtasiye,576.29,11,6339.19,5447,Hazine,Erkek,20,Ankara,2073.91
56,2023-12-31,P018,Telefon,Elektronik,745.74,5,3728.7,7228,Gülter,Kadın,30,Gaziantep,2535.54
57,2023-02-22,P082,Defter,Kırtasiye,984.53,15,14767.949999999999,6465,Atalay,Erkek,56,Gaziantep,4676.05
58,2023-11-27,P082,Defter,Kırtasiye,728.85,8,5830.8,6967,Sümeyye,Erkek,61,Ankara,1139.03
59,2024-06-02,P037,Fırın,Ev Aletleri,1337.33,4,5349.32,7483,Nuriyet,Kadın,63,İzmir,4218.71
60,2024-08-23,P063,Klima,Elektronik,1305.45,11,14359.95,4871,İsmet,Erkek,48,Konya,692.56
61,2023-10-27,P087,Kulaklık,Elektronik,512.56,19,9738.64,1605,Sunel,Erkek,34,Gaziantep,536.95
62,2022-12-01,P018,Telefon,Elektronik,721.03,13,9373.39,8347,Ümmet,Erkek,50,İzmir,4694.71
63,2023-03-06,P037,Fırın,Ev Aletleri,1255.55,12,15066.599999999999,3716,Ahsen,Kadın,28,İstanbul,202.9
64,2023-07-22,P037,Fırın,Ev Aletleri,890.04,1,890.04,3354,Akatay,Erkek,49,İzmir,4337.42
65,2022-12-31,P010,Çanta,Giyim,1379.66,2,2759.32,7465,Sulhi,Erkek,33,Gaziantep,1902.34
66,2023-11-19,P097,Su Şişesi,Mutfak Ürünleri,1244.44,5,6222.200000000001,1521,Zihni,Kadın,46,İzmir,2506.6
67,2023-11-16,P032,Mouse,Elektronik,1054.7,15,15820.5,4625,Erşat,Kadın,25,İstanbul,328.7
68,2023-02-26,P010,Çanta,Giyim,1023.79,16,16380.64,3558,Aclan,Erkek,40,Ankara,4391.46
69,2023-09-09,P032,Mouse,Elektronik,1364.97,8,10919.76,9825,Hariz,Erkek,39,Ankara,2211.18
70,2024-02-24,P018,Telefon,Elektronik,1037.07,2,2074.14,2488,Hudavent,Erkek,35,Adana,3762.96
71,2024-07-30,P032,Mouse,Elektronik,1077.5,17,18317.5,1320,Nurser,Erkek,67,Bursa,2258.18
72,2024-07-26,P024,Bilgisayar,Elektronik,419.95,12,5039.4,5532,Tandoğdu,Erkek,24,İstanbul,3710.86
73,2024-03-01,P082,Defter,Kırtasiye,157.6,17,2679.2,8228,Serda,Kadın,45,Antalya,3530.46
74,2023-11-27,P032,Mouse,Elektronik,737.35,18,13272.3,1176,Alışık,Erkek,32,Konya,2094.04
75,2023-05-08,P010,Çanta,Giyim,683.74,11,7521.14,2851,Gülbeyan,Erkek,57,Ankara,1271.34
76,2023-07-28,P082,Defter,Kırtasiye,1201.22,11,13213.42,4659,Şemsinisa,Kadın,20,Gaziantep,3756.53
77,2023-09-05,P032,Mouse,Elektronik,1445.68,8,11565.44,7194,Müjde,Erkek,23,Ankara,4205.5
78,2023-02-03,P063,Klima,Elektronik,962.52,13,12512.76,4437,Tasvir,Erkek,27,Ankara,1495.9
79,2024-08-12,P087,Kulaklık,Elektronik,337.3,8,2698.4,7497,Borataş,Erkek,35,Antalya,4695.46
80,2023-01-19,P024,Bilgisayar,Elektronik,87.22,16,1395.52,2132,Canal,Erkek,59,Adana,3923.13
81,2023-06-17,P087,Kulaklık,Elektronik,301.99,14,4227.860000000001,9526,Çalım,Kadın,65,Bursa,3777.81
82,2023-07-16,P087,Kulaklık,Elektronik,1364.87,6,8189.219999999999,8900,Hacile,Kadın,60,Antalya,1684.71
83,2024-01-10,P097,Su Şişesi,Mutfak Ürünleri,898.53,18,16173.539999999999,3902,Candeniz,Erkek,61,Konya,867.2
84,2024-04-26,P087,Kulaklık,Elektronik,1056.9,16,16910.4,3455,Uğur,Erkek,62,Antalya,2559.4
85,2023-06-10,P063,Klima,Elektronik,628.44,8,5027.52,4002,Kiyasi,Kadın,40,Adana,1974.35
86,2024-01-12,P087,Kulaklık,Elektronik,421.58,18,7588.44,3819,Paker,Kadın,44,İzmir,3887.09
87,2024-06-11,P037,Fırın,Ev Aletleri,671.85,7,4702.95,3515,Kutay,Erkek,20,Antalya,304.84
88,2024-06-28,P063,Klima,Elektronik,48.36,3,145.07999999999998,3142,Özpetek,Erkek,29,Bursa,3835.22
89,2023-12-06,P024,Bilgisayar,Elektronik,305.07,1,305.07,2865,Gözel,Kadın,52,Konya,1784.76
90,2024-02-16,P063,Klima,Elektronik,1186.05,11,13046.55,2325,Yönetmen,Kadın,32,Ankara,4172.86
91,2024-04-03,P087,Kulaklık,Elektronik,747.76,6,4486.5599999999995,6118,Tanyu,Kadın,47,Gaziantep,1632.54
92,2023-01-09,P082,Defter,Kırtasiye,431.57,10,4315.7,9871,Kâmil,Erkek,45,Gaziantep,2186.94
93,2024-01-27,P082,Defter,Kırtasiye,320.73,10,3207.3,4877,Serma,Erkek,38,Ankara,3717.06
94,2023-08-11,P032,Mouse,Elektronik,377.77,18,6799.86,1304,Bedri,Erkek,21,Bursa,2820.75
95,2023-01-28,P087,Kulaklık,Elektronik,619.29,17,10527.93,2458,Üsame,Kadın,43,Antalya,2568.77
96,2024-09-13,P032,Mouse,Elektronik,130.55,9,1174.95,2402,Amre,Kadın,34,İzmir,4604.03
97,2024-10-15,P011,Kalem,Kırtasiye,1403.81,5,7019.049999999999,5809,Sahil,Kadın,66,Bursa,654.06
98,2024-04-27,P010,Çanta,Giyim,1007.39,17,17125.63,4441,Seyyide,Kadın,38,Gaziantep,4343.76
99,2023-11-28,P032,Mouse,Elektronik,551.17,8,4409.36,3063,Karabaş,Kadın,50,İstanbul,713.58
100,2024-03-12,P037,Fırın,Ev Aletleri,855.19,12,10262.28,8844,Satrettin,Erkek,37,Bursa,2397.13
101,2023-08-08,P063,Klima,Elektronik,24.23,3,72.69,5596,Gülzadiye,Kadın,62,İstanbul,4584.58
102,2023-01-31,P037,Fırın,Ev Aletleri,251.49,4,1005.96,2452,Divan,Kadın,26,Ankara,359.96
103,2024-01-08,P097,Su Şişesi,Mutfak Ürünleri,517.5,13,6727.5,1307,Şadıman,Kadın,46,Konya,3483.85
104,2024-03-03,P037,Fırın,Ev Aletleri,547.24,4,2188.96,5863,Işın,Kadın,57,İzmir,2880.52
105,2022-12-01,P018,Telefon,Elektronik,707.89,15,10618.35,9485,Arcan,Erkek,42,Konya,3197.7
106,2023-12-18,P037,Fırın,Ev Aletleri,454.66,15,6819.900000000001,9002,Amre,Erkek,63,Konya,4497.87
107,2024-02-19,P063,Klima,Elektronik,1480.54,7,10363.779999999999,4855,Esna,Erkek,39,Adana,3045.92
108,2023-12-24,P063,Klima,Elektronik,530.16,14,7422.24,3358,Tonguç,Erkek,50,Gaziantep,3150.84
109,2023-09-19,P087,Kulaklık,Elektronik,1137.99,1,1137.99,6447,Akbaş,Kadın,57,Gaziantep,4462.24
110,2023-08-16,P011,Kalem,Kırtasiye,1269.85,13,16508.05,7751,Tandoğdu,Kadın,56,Bursa,4868.87
111,2023-12-03,P032,Mouse,Elektronik,782.3,9,7040.7,5798,Cüneyit,Kadın,63,Ankara,1750.15
112,2023-12-06,P063,Klima,Elektronik,551.27,8,4410.16,3684,Tunçboğa,Erkek,42,Adana,4362.96
113,2023-01-01,P032,Mouse,Elektronik,889.29,2,1778.58,4414,Borataş,Erkek,44,Adana,1661.3
114,2023-08-23,P097,Su Şişesi,Mutfak Ürünleri,1064.36,5,5321.799999999999,8411,Serma,Erkek,62,Konya,1994.81
115,2023-02-24,P032,Mouse,Elektronik,1204.46,1,1204.46,2662,Ülfet,Kadın,29,Ankara,4647.04
116,2024-01-23,P010,Çanta,Giyim,300.98,2,601.96,3748,Tanhan,Kadın,24,Adana,1933.79
117,2023-10-21,P018,Telefon,Elektronik,901.09,8,7208.72,5765,Siti,Kadın,34,Ankara,1144.63
118,2024-03-03,P018,Telefon,Elektronik,470.19,14,6582.66,1577,Fetullah,Kadın,49,Bursa,4754.74
119,2024-01-22,P097,Su Şişesi,Mutfak Ürünleri,100.3,15,1504.5,3323,Çinerk,Kadın,36,Gaziantep,4525.58
120,2024-10-04,P037,Fırın,Ev Aletleri,516.2,5,2581.0,4030,Nurtaç,Erkek,60,İzmir,3316.69
121,2023-05-27,P037,Fırın,Ev Aletleri,320.56,3,961.68,5486,Yaşattin,Erkek,25,Ankara,3527.99
122,2023-08-01,P010,Çanta,Giyim,597.41,14,8363.74,9282,Rayla,Erkek,47,Bursa,2633.86
123,2023-12-03,P024,Bilgisayar,Elektronik,1117.48,16,17879.68,9354,Günver,Kadın,68,Gaziantep,2723.18
124,2023-08-24,P018,Telefon,Elektronik,154.83,14,2167.6200000000003,3050,Sunel,Kadın,57,Bursa,2670.22
125,2024-01-30,P024,Bilgisayar,Elektronik,1383.13,19,25779.03375,1484,Mestur,Kadın,43,Bursa,2955.64
126,2023-04-22,P087,Kulaklık,Elektronik,709.18,11,7800.98,2523,Ferinaz,Erkek,32,Adana,4431.96
127,2023-01-21,P063,Klima,Elektronik,1312.88,16,21006.08,7139,Başhan,Kadın,38,Gaziantep,1768.31
128,2023-09-08,P032,Mouse,Elektronik,1462.41,5,7312.05,9426,Sökmen,Kadın,32,Bursa,1841.46
129,2023-07-08,P011,Kalem,Kırtasiye,32.18,2,64.36,9072,İlklima,Kadın,69,İzmir,4669.46
130,2024-06-08,P010,Çanta,Giyim,991.0,16,15856.0,7253,Alparslan,Erkek,62,Konya,507.28
131,2023-10-15,P063,Klima,Elektronik,1360.87,10,13608.699999999999,9732,Cebesoy,Kadın,46,Antalya,1723.45
132,2023-12-22,P087,Kulaklık,Elektronik,434.92,4,1739.68,1756,Berki,Kadın,44,Ankara,2751.49
133,2023-10-11,P032,Mouse,Elektronik,675.89,13,8786.57,7710,Borahan,Kadın,26,Adana,4108.59
134,2023-05-15,P037,Fırın,Ev Aletleri,1297.88,6,7787.280000000001,1836,Hazine,Kadın,53,Konya,3846.53
135,2023-12-18,P097,Su Şişesi,Mutfak Ürünleri,43.22,2,86.44,5360,Rezin,Kadın,55,Antalya,948.39
136,2023-07-10,P011,Kalem,Kırtasiye,60.42,11,664.62,7083,Alattin,Kadın,27,Ankara,914.21
137,2023-09-07,P011,Kalem,Kırtasiye,41.66,3,124.97999999999999,8509,Rohat,Kadın,62,Adana,1205.55
138,2023-02-01,P037,Fırın,Ev Aletleri,670.88,13,8721.44,5798,Cüneyit,Kadın,63,Ankara,1750.15
139,2023-06-12,P018,Telefon,Elektronik,741.99,7,5193.93,3558,Aclan,Erkek,40,Ankara,4391.46
140,2023-01-12,P063,Klima,Elektronik,1228.14,3,3684.42,8889,Kutun,Kadın,62,Gaziantep,2897.64
141,2023-04-04,P024,Bilgisayar,Elektronik,1418.44,13,18439.72,5731,Alaaddin,Kadın,20,Konya,1959.35
142,2023-03-18,P018,Telefon,Elektronik,125.51,9,1129.59,8095,Yeneral,Kadın,61,Konya,3525.55
143,2023-10-08,P082,Defter,Kırtasiye,1466.61,12,17599.32,9452,Müveddet,Kadın,59,Bursa,3587.02
144,2024-10-24,P024,Bilgisayar,Elektronik,205.53,6,1233.18,2367,Feyruz,Kadın,45,Bursa,197.55
145,2023-06-04,P037,Fırın,Ev Aletleri,1220.21,1,1220.21,1494,Rezzak,Kadın,53,Gaziantep,3842.0
146,2023-06-01,P024,Bilgisayar,Elektronik,1242.43,18,22363.74,4544,Tagangül,Kadın,46,İzmir,4821.06
147,2024-04-19,P087,Kulaklık,Elektronik,429.0,10,4290.0,5198,Şahmettin,Kadın,24,Bursa,503.13
148,2023-04-11,P032,Mouse,Elektronik,201.25,19,3823.75,2129,Ozansü,Kadın,26,Antalya,4267.73
149,2022-12-09,P087,Kulaklık,Elektronik,1066.05,2,2132.1,9500,Gözel,Kadın,39,Bursa,4455.37
150,2023-09-03,P024,Bilgisayar,Elektronik,73.74,16,1179.84,7155,Vezrife,Kadın,40,Antalya,2910.69
151,2024-02-05,P082,Defter,Kırtasiye,1054.46,15,15816.9,1907,Leyli,Erkek,48,Adana,3986.06
152,2024-05-02,P087,Kulaklık,Elektronik,430.98,19,8188.620000000001,9385,Nurseda,Kadın,22,İzmir,4209.36
153,2023-11-22,P024,Bilgisayar,Elektronik,816.21,13,10610.73,5318,Binışık,Kadın,54,Konya,3629.06
154,2024-05-23,P087,Kulaklık,Elektronik,998.07,17,16967.190000000002,7021,Ercihan,Erkek,54,Adana,4615.83
155,2023-02-12,P082,Defter,Kırtasiye,1170.6,16,18729.6,5209,Nebih,Kadın,25,Antalya,137.85
156,2024-01-15,P097,Su Şişesi,Mutfak Ürünleri,928.07,11,10208.77,4986,Haciali,Kadın,57,Antalya,2470.18
157,2024-04-29,P024,Bilgisayar,Elektronik,1109.56,3,3328.68,2312,Çelikyürek,Kadın,41,Antalya,4636.26
158,2023-04-11,P082,Defter,Kırtasiye,771.8,12,9261.599999999999,1499,Şahnuray,Erkek,39,Bursa,4996.4
159,2023-10-23,P018,Telefon,Elektronik,11.07,5,55.35,3111,Revza,Erkek,36,Ankara,3669.9
160,2024-07-11,P018,Telefon,Elektronik,729.28,16,11668.48,9260,Burç,Erkek,68,Gaziantep,3986.03
161,2024-03-31,P087,Kulaklık,Elektronik,903.34,14,12646.76,3196,Altınçiçek,Erkek,45,Bursa,747.64
162,2023-01-08,P010,Çanta,Giyim,1182.59,17,20104.03,8024,Kaşif,Erkek,51,Gaziantep,3860.4
163,2023-05-15,P087,Kulaklık,Elektronik,621.7,5,3108.5,1431,Aliihsan,Erkek,32,İzmir,379.8
164,2024-02-10,P087,Kulaklık,Elektronik,873.05,5,4365.25,7423,Dilsitan,Erkek,68,Antalya,1479.04
165,2024-07-05,P010,Çanta,Giyim,603.99,9,5435.91,7530,Cemiyle,Erkek,33,Konya,3091.06
166,2022-11-10,P097,Su Şişesi,Mutfak Ürünleri,549.64,12,6595.68,9880,Refet,Kadın,47,Antalya,2484.55
167,2024-02-17,P037,Fırın,Ev Aletleri,771.44,16,12343.04,8915,Cabir,Erkek,41,Antalya,4469.95
168,2023-07-09,P010,Çanta,Giyim,1180.98,4,4723.92,6258,Boztaş,Kadın,43,İstanbul,2692.37
169,2023-05-13,P097,Su Şişesi,Mutfak Ürünleri,671.2,15,10068.0,3955,Fenni,Kadın,64,Konya,3742.46
170,2023-02-11,P087,Kulaklık,Elektronik,1010.34,7,7072.38,6863,Adıgün,Kadın,64,Bursa,1214.31
171,2023-01-06,P082,Defter,Kırtasiye,283.44,9,2550.96,2661,Yurdaser,Kadın,55,Ankara,1519.53
172,2023-08-18,P024,Bilgisayar,Elektronik,260.59,9,2345.31,6123,Zebirce,Kadın,25,Adana,3437.66
173,2023-01-14,P037,Fırın,Ev Aletleri,248.75,9,2238.75,8900,Hacile,Kadın,60,Antalya,1684.71
174,2024-10-11,P024,Bilgisayar,Elektronik,388.0,14,5432.0,5619,Gündüzalp,Erkek,26,İstanbul,4786.24
175,2024-07-03,P063,Klima,Elektronik,614.08,15,9211.2,7152,Abdulsemet,Kadın,45,İzmir,2048.74
176,2022-12-25,P018,Telefon,Elektronik,23.75,4,95.0,3393,Özgün,Erkek,36,Konya,4060.86
177,2023-12-19,P011,Kalem,Kırtasiye,291.36,4,1165.44,2535,Nihan,Erkek,21,Konya,3470.65
178,2023-05-24,P032,Mouse,Elektronik,177.89,6,1067.34,4741,Besey,Erkek,65,Ankara,345.13
179,2024-03-27,P011,Kalem,Kırtasiye,280.37,19,5327.03,2619,Nezize,Erkek,43,Antalya,431.77
180,2024-05-18,P082,Defter,Kırtasiye,23.59,6,141.54,5760,Rıfkıye,Erkek,49,Gaziantep,3947.79
181,2024-03-23,P097,Su Şişesi,Mutfak Ürünleri,1119.64,11,12316.04,1167,Us,Erkek,44,Antalya,1125.66
182,2022-11-29,P024,Bilgisayar,Elektronik,345.03,1,345.03,1960,Tansev,Erkek,41,Antalya,3706.35
183,2024-02-13,P024,Bilgisayar,Elektronik,980.43,15,14706.449999999999,9519,Arıel,Erkek,53,Konya,4738.37
184,2024-04-15,P037,Fırın,Ev Aletleri,894.77,19,17000.63,2870,Soyselçuk,Erkek,56,Antalya,3983.04
185,2023-07-07,P082,Defter,Kırtasiye,975.47,6,5852.82,6443,Hürüyet,Erkek,34,Ankara,2778.77
186,2023-03-06,P018,Telefon,Elektronik,711.34,13,9247.42,6202,Özkutlu,Erkek,65,İstanbul,1785.19
187,2023-06-12,P018,Telefon,Elektronik,813.43,15,12201.449999999999,2662,Ülfet,Kadın,29,Ankara,4647.04
188,2024-07-09,P063,Klima,Elektronik,131.65,6,789.9000000000001,9178,Cannur,Kadın,47,Bursa,4419.74
189,2024-08-14,P097,Su Şişesi,Mutfak Ürünleri,978.69,17,16637.73,5645,Alpsü,Erkek,40,Adana,2619.23
190,2024-02-21,P018,Telefon,Elektronik,813.57,2,1627.14,3706,Tuğcan,Kadın,68,Gaziantep,2501.92
191,2023-10-13,P087,Kulaklık,Elektronik,426.3,4,1705.2,8188,Ensari,Erkek,49,İzmir,3910.69
192,2024-02-14,P097,Su Şişesi,Mutfak Ürünleri,1403.12,4,5612.48,1981,Ayşan,Kadın,31,İzmir,556.25
193,2023-11-27,P063,Klima,Elektronik,133.38,8,1067.04,4465,İlbek,Kadın,31,Ankara,1249.73
194,2024-10-26,P010,Çanta,Giyim,192.07,17,3265.19,5164,Birsen,Kadın,41,Bursa,651.7
195,2023-05-18,P063,Klima,Elektronik,7.35,13,95.55,6741,Koray,Erkek,45,Antalya,3391.0
196,2023-09-29,P087,Kulaklık,Elektronik,537.13,11,5908.43,6533,Gilman,Erkek,64,Gaziantep,2103.81
197,2023-07-02,P024,Bilgisayar,Elektronik,1102.28,3,3306.84,5735,Zamir,Erkek,43,Adana,938.61
198,2023-05-27,P024,Bilgisayar,Elektronik,25.79,15,386.84999999999997,4869,Hafıza,Kadın,52,Ankara,448.55
199,2023-12-13,P032,Mouse,Elektronik,122.66,15,1839.8999999999999,2217,Duyguhan,Kadın,62,Konya,4164.14
200,2024-08-09,P011,Kalem,Kırtasiye,1004.66,1,1004.66,4310,Tasvir,Erkek,64,Antalya,3717.03
201,2023-02-12,P032,Mouse,Elektronik,528.21,8,4225.68,6671,Minibe,Erkek,59,Bursa,4095.91
202,2023-12-13,P032,Mouse,Elektronik,180.98,4,723.92,4263,Bünyamün,Kadın,47,Bursa,4747.89
203,2024-08-20,P010,Çanta,Giyim,20.13,7,140.91,8586,Barışcan,Kadın,54,Adana,1732.46
204,2023-07-12,P018,Telefon,Elektronik,418.85,16,6701.6,7138,Hanim,Erkek,21,İzmir,1005.58
205,2023-09-23,P097,Su Şişesi,Mutfak Ürünleri,799.32,5,3996.6,3486,Neslinur,Erkek,28,Bursa,2081.46
206,2023-09-02,P087,Kulaklık,Elektronik,155.58,10,1555.8000000000002,2333,Zihni,Erkek,26,Antalya,1747.65
207,2024-09-05,P087,Kulaklık,Elektronik,959.75,2,1919.5,9826,Paye,Kadın,52,Bursa,672.76
208,2024-05-16,P032,Mouse,Elektronik,565.78,5,2828.8999999999996,7147,Hasgül,Kadın,30,İzmir,681.07
209,2023-10-25,P010,Çanta,Giyim,1438.84,13,18704.92,5627,Aygönenç,Kadın,54,Bursa,4773.87
210,2023-01-07,P010,Çanta,Giyim,840.93,15,12613.949999999999,2262,Yıldız,Erkek,58,Ankara,707.16
211,2023-09-12,P011,Kalem,Kırtasiye,571.47,13,7429.110000000001,7509,Güllühan,Erkek,45,İstanbul,1010.01
212,2024-10-14,P063,Klima,Elektronik,17.45,18,314.09999999999997,9520,Haluk,Kadın,35,İstanbul,1036.95
213,2023-12-12,P082,Defter,Kırtasiye,965.26,11,10617.86,3092,Şahat,Erkek,37,Adana,1040.18
214,2023-04-17,P082,Defter,Kırtasiye,1184.11,9,10656.99,9880,Refet,Kadın,47,Antalya,2484.55
215,2024-06-01,P063,Klima,Elektronik,126.77,8,1014.16,4272,Durmuşali,Erkek,67,Ankara,1332.39
216,2024-04-03,P032,Mouse,Elektronik,281.06,5,1405.3,6305,Feryas,Erkek,20,İstanbul,2710.35
217,2023-03-23,P018,Telefon,Elektronik,7.89,13,102.57,6298,Nurullah,Kadın,31,Gaziantep,2890.92
218,2023-01-24,P018,Telefon,Elektronik,440.0,14,6160.0,3049,Tezol,Kadın,21,Antalya,2127.8
219,2024-07-23,P087,Kulaklık,Elektronik,546.44,18,9835.920000000002,7380,Müsemma,Kadın,67,Adana,1138.1
220,2023-08-29,P010,Çanta,Giyim,1392.59,9,12533.31,6477,Çağa,Erkek,51,Konya,1466.88
221,2022-11-30,P037,Fırın,Ev Aletleri,1307.11,2,2614.22,6762,Köktaş,Erkek,46,İzmir,3766.3
